,Instruction,TF_IDF_GeneratedRecipe,Rating,FineTuned_BART_GeneratedRecipe,Rating,PreTrained_BART_GeneratedRecipe,Rating
10,"Tags: ['weeknight', '60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', 'low-protein', 'side-dishes', 'potatoes', 'vegetables', 'easy', 'spring', 'dietary', 'low-sodium', 'low-cholesterol', 'seasonal', 'healthy-2', 'low-in-something'] Nutrition: low-calories, low-sugar, low-sodium, low-protein, low-carbohydrates Ingredients:  'chicken stock','fingerling potato', 'rice vinegar', 'chives', 'vegetable oil', 'dijon mustard' Rating: 4.0","Name: arriba   baked winter squash mexican style Minutes: 55 Ingredients: ['winter squash', 'mexican seasoning', 'mixed spice', 'honey', 'butter', 'olive oil', 'salt'] Steps: ['make a choice and proceed with recipe', 'depending on size of squash , cut into half or fourths', 'remove seeds', 'for spicy squash , drizzle olive oil or melted butter over each cut squash piece', 'season with mexican seasoning mix ii', 'for sweet squash , drizzle melted honey , butter , grated piloncillo over each cut squash piece', 'season with sweet mexican spice mix', 'bake at 350 degrees , again depending on size , for 40 minutes up to an hour , until a fork can easily pierce the skin', 'be careful not to burn the squash especially if you opt to use sugar or butter', 'if you feel more comfortable , cover the squash with aluminum foil the first half hour , give or take , of baking', 'if desired , season with salt']",2,": Name: baked potatoes Minutes: 40 Ingredients: ['butter', 'onion', ""campbell's cream of mushroom soup"",'sour cream'] Steps ['preheat oven to 350 degrees fahrenheit and spray a 9x13 baking dish with nonstick cooking spray, then set aside to cool for 30 minutes, or until you can handle the potatoes with your hands', ['melt butter in a large saucepan over medium heat, add onion and saute until tender, about 5 minutes', ', then stir in soup, sour cream, and 1 / 4 cup of the remaining soup mix and cook until heated through, stirring constantly, until the soup is thickened and the sauce is bubbly']",4,"Tags: ['weeknight', '60-minutes-or-less', ‘time-to-make"", 'course', ""main-ingredient',�cuisine', `preparation', '/occasion', ', 'north-american' 'low-protein', ['side-dishes']",0
11,"Tags: ['weeknight', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', 'main-dish', 'soups-stews', 'beef', 'pork', 'vegetables', 'american', 'southwestern-united-states', '1-day-or-more', 'chili', 'stove-top', 'dietary', 'spicy', 'meat', 'taste-mood', 'equipment'] Nutrition: low-calories, low-sodium, high-protein, high-saturated fat, low-carbohydrates Ingredients:  'oregano', 'onion', 'stew meat', 'green chilies', 'sugar', 'tomato sauce', 'garlic cloves', 'chili powder', 'jalapenos', 'jalapeno juice', 'cumin', 'breakfast sausage', 'onion powder','hamburger', 'cayenne', 'garlic powder' Rating: 4.827586206896552","Name: 30 minute chili Minutes: 30 Ingredients: ['hamburger', 'yellow onion', 'garlic cloves', 'chili powder', 'black pepper', 'salt', 'cumin', 'cayenne pepper', 'pinto beans', 'crushed tomatoes', 'beef broth'] Steps: ['brown beef with onion and garlic in 5-quart dutch oven or large skillet over med high heat for 5 to 6 minutes', 'add seasonings , and stir to combine , heat 1 minute', 'stir in pinto beans , broth and tomatoes', 'bring to boil , reduce heat and simmer for 15 minutes uncovered', 'garnish with onion and cheddar cheese']",5,": Name: beef and mushroom soup Minutes: 255 Ingredients: ['beef stewing beef', 'onion soup mix', ""confectioners' sugar"",'milk'] Steps: [""in a large pot, brown beef with onions and seasonings until beef is no longer pink and onions are tender, but not browned, about 5 minutes"", ""add milk and stir to combine, and bring to a boil over medium-high heat, stirring often, until the soup is thickened and the sauce is reduced by half and thickens a bit, adding more milk if necessary, if it's too thick, add a little more water if too thin, or it won't be as thick as you like it""]",4,"Tags: ['weeknight', 'time-to-make', '/course', ','main-ingredient' 'cuisine-a-course-dish','café-cafe', ""preparation"", 'cajun-e-co-prestauration',... 'occasion', '.north-american',�main-,'soups-stews', “beef', `p",0
12,"Tags: ['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'north-american', 'desserts', 'american', 'southern-united-states', 'kid-friendly', 'cakes', 'chocolate', 'dietary', 'number-of-servings'] Nutrition: high-calories, high-total fat, high-sugar, low-sodium, high-protein, high-saturated fat Ingredients:  'pecans', 'eggs', 'egg', 'vanilla', 'cream cheese','chocolate cake mix' Rating: 5.0","Name: bananas 4 ice cream  pie Minutes: 180 Ingredients: ['chocolate sandwich style cookies', 'chocolate syrup', 'vanilla ice cream', 'bananas', 'strawberry ice cream', 'whipped cream'] Steps: ['crumble cookies into a 9-inch pie plate , or cake pan', 'pat down to form an even layer', 'drizzle 1 cup of chocolate topping evenly over the cookies with a small spoon', 'scoop the vanilla ice cream on top of the chocolate and smooth down', 'cover with half of the sliced bananas', 'top with strawberry ice cream', 'cover and freeze until firm', 'before serving , top with 1 / 4 cup chocolate topping , whipped cream , and sliced bananas']",5,": Name: country fried chicken Minutes: 60 Ingredients: ['boneless skinless chicken breast halves', 'butter', ""confectioners' sugar"", 'eggs'] Steps ['preheat oven to 350 degrees fahrenheit and grease a 13 x 9 x 2-inch baking dish with butter or margarine, then set aside for 10 minutes to cool slightly, and then cut chicken into bite size pieces and place them in a large bowl and add the sugar, eggs and melted butter to the bowl of a stand mixer fitted with the paddle attachment and beat on high speed for 2 minutes, or until the butter is melted and the mixture is smooth and thick enough to coat the back of the spoon, scraping down the sides with a rubber spatula as necessary to keep the pieces from sticking together during the cooking process, adding more sugar if necessary, to prevent the chicken from falling apart during cooking, but not too thick, as it will continue to thicken as you do so, so be careful not to over-mix the ingredients too much or they will be tough to work with when you remove them from the oven, which will take about 20-30 minutes depending on the size of your chicken pieces']",5,"Tags: ['60-minutes-or-less', 'time-to-make','course', ""main-ingredient', “cuisine"", 'preparation', '.cu-american', ', 'desserts', '/Americican' and'southern-united-states'",0
13,"Tags: ['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'lunch', 'beef', 'easy', 'beginner-cook', 'kid-friendly', 'dietary', 'ground-beef', 'meat', '3-steps-or-less'] Nutrition: low-calories, low-total fat, low-sugar, low-sodium, low-carbohydrates Ingredients:  'crusty bread rolls', 'tomatoes','ground beef', 'dried herbs' Rating: 5.0","Name: forgotten  minestrone Minutes: 495 Ingredients: ['beef stew meat', 'water', 'tomatoes', 'beef bouillon cube', 'onion', 'dried parsley', 'salt', 'ground thyme', 'ground pepper', 'zucchini', 'cabbage', 'garbanzo beans', 'elbow macaroni', 'parmesan cheese'] Steps: ['in a slow cooker , combine the first nine ingredients', 'cover and cook on low for 7-9 hours or until meat is tender', 'add zucchini , cabbage , beans and macaroni', 'cook on high 30-45 minutes more or until the vegetables are tender', 'sprinkle individual servings with parmesan cheese']",4,": Name: bbq beef burgers Minutes: 40 Ingredients: ['beef round steak', 'onion', ""campbell's barbecue sauce"", 'ketchup'] Steps ['preheat oven to 350 degrees fahrenheit and spray a 9x13 baking dish with nonstick cooking spray, then place beef on top of the onions in the dish and bake for 30-40 minutes, or until beef is no longer pink in center and onions are tender']",4,"Tags: ['60-minutes-or-less', 'time-to-make', ‘course''main-ingredient', ""preparation"", 'lunch',�pre-cooking-meets-a-dietary','lunar-baking-fast-and-cheese-quick-start-in-the-middle-of-course',",0
14,"Tags: ['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', 'desserts', 'eggs-dairy', 'oven', 'easy', 'beginner-cook', 'kosher', 'cheesecake', 'cheese', 'dietary', 'taste-mood', 'sweet', 'equipment', 'small-appliance', 'mixer', 'presentation', 'served-cold'] Nutrition: low-calories, high-sugar, low-sodium, low-protein, high-saturated fat, low-carbohydrates Ingredients:  'graham cracker crumbs', 'instant lemon pudding', 'butter' Rating: 4.25","Name: puddingkuchen   custard bake Minutes: 75 Ingredients: ['eggs', 'sugar', 'flour', 'milk', 'butter', 'fruit'] Steps: ['in a bowl combine eggs , sugar , flour and milk', 'grease a stoneware dish with all the butter', 'pour in the dough and add fruit , raisins or almonds to taste', 'bake in the cold oven at 180c for about 60 minutes or until custard has set', 'you might need to cover the dish after 40 minutes or so', 'allow to stand and set for at least 10 minutes before serving']",3,": Name: baked custard Minutes: 30 Ingredients: ['eggs','milk', ""confectioners' sugar"", 'vanilla extract'] Steps: [""preheat oven to 350 degrees fahrenheit, but don't overbake"", ""in a small bowl, whisk together eggs, milk, confectioner's sugar, vanilla, and vanilla extract until well blended, about 5 minutes"", '(pour into a greased 9x13-inch baking dish and bake for 20-25 minutes, or until a toothpick inserted near the center comes out clean']",5,"Tags: ['30-minutes-or-less', 'time-to-make-a-day-course', ', 'work-in-the-middle-of-your-life-style-main-ingredient', ""preparation"", 'occasion', “desserts',�eggs-dairy', '/oven', '[easy-startner-cook',",0
15,"Tags: ['weeknight', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', 'for-large-groups', 'low-protein', 'healthy', 'beverages', 'fruit', 'holiday-event', 'kid-friendly', 'low-fat', 'punch', 'food-processor-blender', 'freezer', 'dietary', 'low-sodium', 'low-cholesterol', 'low-saturated-fat', 'low-calorie', 'healthy-2', 'low-in-something', 'tropical-fruit', 'pineapple', 'brunch', 'equipment', 'small-appliance', 'number-of-servings', '4-hours-or-less'] Nutrition: low-calories, low-total fat, high-sugar, low-sodium, low-protein, low-saturated fat, low-carbohydrates Ingredients:  'pineapple juice', 'sugar', 'frozen orange juice concentrate', 'orange slice', 'carbonated lemon-lime beverage', 'frozen lemonade concentrate', 'water' Rating: 5.0","Name: apple a day  milk shake Minutes: 0 Ingredients: ['milk', 'vanilla ice cream', 'frozen apple juice concentrate', 'apple'] Steps: ['combine ingredients in blender', 'cover and blend until smooth', 'sprinkle with ground cinnamon', 'makes about 2 cups']",2,": Name: cranberry lemonade Minutes: 255 Ingredients: ['fresh cranberries', 'fresh lemon juice', ""confectioners' sugar"", 'lemon, zest of'] Steps: [""in a large saucepan, combine all the ingredients except for the lemon and orange juice, and bring to a boil over medium heat, stirring often so it doesn't stick to the bottom of the pan"", ""reduce the heat to low and simmer, uncovered, for 10-15 minutes, or until the berries pop and the liquid is reduced to about 1 / 4 cup, but don't let the mixture boil too long or it will curdle, so you'll need to add a little more water if you want it to be a bit more thick""]",2,"Tags: ['weeknight', 'time-to-make',�course', “main-ingredient], 'preparation"", 'occasion', ""for-large-groups', [low-protein', '/healthy', ', 'lifestyle-event','healthy-beverages', `fruit', '[holiday-type-of-day-and-night-afternoon-events']",0
16,"Tags: ['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', 'low-protein', 'healthy', 'sauces', 'desserts', 'condiments-etc', 'fruit', 'easy', 'potluck', 'dinner-party', 'kid-friendly', 'kosher', 'low-fat', 'vegan', 'vegetarian', 'puddings-and-mousses', 'stove-top', 'dietary', 'low-sodium', 'low-cholesterol', 'low-saturated-fat', 'low-calorie', 'low-in-something', 'tropical-fruit', 'pineapple', 'to-go', 'equipment'] Nutrition: low-calories, low-total fat, high-sugar, low-sodium, low-protein, low-saturated fat, low-carbohydrates Ingredients:  'rhubarb','minute tapioca', 'salt', 'crushed pineapple' Rating: 3.0","Name: arriba   baked winter squash mexican style Minutes: 55 Ingredients: ['winter squash', 'mexican seasoning', 'mixed spice', 'honey', 'butter', 'olive oil', 'salt'] Steps: ['make a choice and proceed with recipe', 'depending on size of squash , cut into half or fourths', 'remove seeds', 'for spicy squash , drizzle olive oil or melted butter over each cut squash piece', 'season with mexican seasoning mix ii', 'for sweet squash , drizzle melted honey , butter , grated piloncillo over each cut squash piece', 'season with sweet mexican spice mix', 'bake at 350 degrees , again depending on size , for 40 minutes up to an hour , until a fork can easily pierce the skin', 'be careful not to burn the squash especially if you opt to use sugar or butter', 'if you feel more comfortable , cover the squash with aluminum foil the first half hour , give or take , of baking', 'if desired , season with salt']",3,": Name: bbq chicken Minutes: 30 Ingredients: ['boneless skinless chicken breasts', 'olive oil flavored cooking spray', ""mccormick's barbecue sauce"", 'garlic cloves'] Steps ['heat oil in a large nonstick skillet over medium-high heat, add chicken and cook, stirring occasionally, until chicken is no longer pink and juices run clear, about 10-15 minutes, depending on thickness of chicken, remove chicken from skillet and set aside to cool slightly, then season chicken with salt and pepper to taste']",0,"Tags: ['30-minutes-or-less', 'time-to-make','course', ""main-ingredient', “cuisine"", 'preparation',�cajun-sauces', ', 'north-american' 'low-protein', '/healthy' -'souces'",0
17,"Tags: ['30-minutes-or-less', 'time-to-make', 'preparation'] Nutrition: low-calories, low-sugar, low-sodium, high-protein, high-saturated fat, low-carbohydrates Ingredients:  'milk', 'cooked rice', 'ground black pepper', 'vegetable oil', 'broccoli cheese soup' Rating: 5.0","Name: deep fried dessert thingys Minutes: 20 Ingredients: ['all-purpose flour', 'granulated sugar', 'baking powder', 'salt', 'vanilla extract', 'egg', 'milk', 'vegetable oil', 'bread', 'brown sugar', 'ground cinnamon', 'butter', 'powdered sugar'] Steps: ['in a large bowl , mix flour , granulated sugar , baking powder and salt', 'make a well in the center of the flour mixture , and pour in milk , vanilla , egg and 2 tablespoons oil', 'mix until smooth', 'heat remaining vegetable oil to 400 degrees in a small deep fryer', 'oil is hot enough when it starts to ripple', 'be careful not to overheat', 'butter one side of each bread slice', 'sprinkle the brown sugar and cinnamon evenly onto the buttered side of the bread slices', 'make sandwiches by placing the slices of bread together with the brown sugar on the inside', 'cut the sandwiches into quarters', 'now is a good time to test the oil by dropping in a very small amount of batter', 'batter should sizzle and brown in about 20 seconds', 'oil needs to be hot enough to melt the brown sugar inside the sandwiches but not so hot that it scorches the batter', 'dip the sandwiches into the batter mixture', 'using deep fryer tongs , carefully place the battered sandwiches into the heated oil', 'be cautious when deep frying', 'try to avoid burns from splattering hot oil', 'remove sandwiches from the oil when they are golden brown', 'set aside to cool for a couple of minutes', 'sprinkle with powdered sugar and serve']",4,": Name: baked french toast Minutes: 30 Ingredients: ['french bread','milk', ""confectioners' sugar"", 'butter'] Steps: [""preheat oven to 350 degrees fahrenheit, but don't overbake the bread or it will be tough"", ""you'll need to add a little more milk if you want it to be a bit more creamy, so you'll want to stir it a few times so it doesn't stick to the bottom of the pan""]",4,"Tags: ['30-minutes-or-less', 'time-to-make', ""preparation'] Nutrition: low-calories, low -sugar, high-saturated fat, no-carbohydrates Ingredients: 'milk",0
18,"Tags: ['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', 'main-dish', 'pasta', 'easy', 'one-dish-meal', 'comfort-food', 'pasta-rice-and-grains', 'taste-mood', 'savory', '3-steps-or-less'] Nutrition: low-calories, high-total fat, low-sugar, low-sodium, high-protein, high-saturated fat, low-carbohydrates Ingredients:  'fresh ground black pepper', 'garlic cloves', 'rigatoni pasta', 'cannellini beans', 'escarole', 'salt', 'low sodium chicken broth','cooking oil', 'mild sausage' Rating: 4.0","Name: fool the meat eaters  chili Minutes: 40 Ingredients: ['vegetarian ground beef', 'garlic', 'onion', 'jalapenos', 'green pepper', 'celery', 'kidney beans', 'diced tomatoes', 'chili powder', 'black pepper', 'salt', 'red pepper flakes'] Steps: ['rehydrate tvp if needed', 'spray or oil a large pot', 'chop the onion , hot peppers , and garlic and add to the pot', 'chop remaining vegetables , add to pot and brown lightly', 'add remaining ingredients', 'stir well and simmer at least 15 minutes', 'taste adjust spices to taste', 'simmer an additional 15 minutes or so', 'serve with garlic bread , toast , or on rice']",4,": Name: easy cheesy pasta bake Minutes: 50 Ingredients: ['pasta', 'butter', ""campbell's montreal brand italian seasoning"", 'garlic powder'] Steps: [""cook pasta according to package directions, drain and set aside in a large pot of boiling salted water for 10 minutes, or until al dente"", ""while pasta is cooking, melt butter in large skillet over medium-high heat and saute' garlic powder for 1 minute, stirring frequently, until garlic is fragrant, but not browned, then add pasta and stir to coat evenly with butter and garlic-seasoning mixture, breaking up any clumps of garlic that may be stuck to the bottom of the pan, about 5 minutes more, depending on the size of your pasta, and the amount of pasta you want to cook in the oven"", '(you can also add a little more butter, if you like it a bit more crunchier']",4,"Tags: ['60-minutes-or-less', 'time-to-make','course', ""main-ingredient', ‘preparation"", 'occasion',�main'-dish-meal, 'prepared-a-day-and-two-dishes-three-days-one-month-long-course-",0
19,"Tags: ['course', 'preparation', 'healthy', '5-ingredients-or-less', 'main-dish', 'easy', 'low-fat', 'chili', 'crock-pot-slow-cooker', 'dietary', 'low-saturated-fat', 'low-calorie', 'low-carb', 'low-in-something', 'equipment'] Nutrition: low-calories, low-total fat, low-sugar, low-sodium, high-protein, low-carbohydrates Ingredients:  'salsa verde','pork roast', 'onion', 'salt and pepper' Rating: 4.0","Name: apple a day  milk shake Minutes: 0 Ingredients: ['milk', 'vanilla ice cream', 'frozen apple juice concentrate', 'apple'] Steps: ['combine ingredients in blender', 'cover and blend until smooth', 'sprinkle with ground cinnamon', 'makes about 2 cups']",2,": Name: crock pot chili Minutes: 490 Ingredients: ['chili powder', 'ground beef', ""campbell's cheddar cheese soup"", 'onion soup mix'] Steps: [""place all ingredients in a slow cooker and cook on low for 6-8 hours or on high for 4-5 hours, or until the cheese is melted and the soup is heated through""]",3,"Tags: ['course', 'preparation', ‘healthy"", '5-ingredients-or-less', ""main-dish',�easy-to-make-good-food-and-high-protein-rich-carb-low-fat-cherry-slow-cooked-crock-pot-fast-cooker-saturated",0
TOTAL,,,3.947368421,,4.052631579,,0
